********************************************************************************
Field Output Report, written Tue May 12 11:38:49 2026

Source 1
---------

   ODB: C:/Temp/ABAQUS/Enrico_test_flow/Flow_in_pipe.odb
   Step: Heat_transfer_step
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PIPE-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label        HFL.HFL1        HFL.HFL2        HFL.HFL3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             407     999.920E-03     303.589E-03     3.02764E-03
             408     999.817E-03     337.536E-03     18.1469E-03
             409         1.00034     362.118E-03     6.37568E-03
             410         1.00028     349.141E-03     16.0368E-03
             411         1.00004     251.125E-03    -6.66894E-03
             412         1.00008     226.739E-03     4.73531E-03
             413     999.859E-03     288.751E-03    -3.37322E-03
             414     999.936E-03     267.532E-03     4.09953E-03
             415     999.906E-03     281.825E-03     3.80921E-03
             416     999.979E-03     235.677E-03     50.8042E-06
             417         1.00009     365.592E-03     401.676E-06
             418         1.00006     315.597E-03    -10.9339E-03
             419     999.999E-03     290.194E-03     1.59385E-03
             420     999.988E-03     256.667E-03    -8.32103E-03
             421         1.00004     333.519E-03    -14.4336E-03
             422         1.00006     267.835E-03    -3.15552E-03
             423     999.828E-03     260.735E-03    -608.697E-06
             424     999.828E-03     345.967E-03    -15.3429E-03
             425         1.00019     365.167E-03    -13.3625E-03
             426         1.00008     367.521E-03    -17.5063E-03
             427     999.960E-03     333.941E-03     10.5053E-03
             428     999.938E-03     316.715E-03     4.95445E-03
             429         1.00031     356.201E-03     11.2182E-03
             430         1.00016     252.510E-03     2.70681E-03
             431     999.940E-03     291.321E-03    -2.53031E-03
             432     999.950E-03     355.004E-03     1.66905E-03
             433         1.00006     294.915E-03     2.41340E-03
             434     999.839E-03     302.994E-03    -2.21287E-03
             435         1.00007     272.249E-03    -4.93228E-03
             436         1.00004     347.363E-03    -9.70627E-03
             437         1.00005     284.620E-03    -816.928E-06
             438     999.905E-03     302.613E-03     665.091E-06
             439     999.932E-03     276.580E-03     1.22050E-03
             440     999.718E-03     358.182E-03    -8.76330E-03
             441         1.00008     349.779E-03     5.60698E-03
             442     999.788E-03     307.054E-03     777.657E-06
             443         1.00004     325.732E-03     4.85260E-03
             444         1.00011     357.854E-03    -3.16277E-03
             445         1.00003     342.927E-03     8.57457E-03
             446         1.00012     308.005E-03    -1.71412E-03
             447     999.977E-03     301.365E-03     264.213E-06
             448     999.968E-03     290.604E-03    -1.85135E-03
             449         1.00007     346.906E-03    -4.90636E-03
             450         1.00011     335.099E-03    -9.29403E-03
             451     999.832E-03     310.989E-03    -197.909E-06
             452         1.00008     295.431E-03     1.90984E-03
             453         1.00033     312.921E-03     825.942E-06
             454     999.898E-03     366.139E-03    -6.20587E-03
             455     999.948E-03     345.182E-03    -1.01645E-03
             456     999.857E-03     339.383E-03     1.76805E-03
             457         1.00024     299.302E-03     180.358E-06
             458     999.703E-03     358.496E-03     17.1285E-03
             459     999.788E-03     362.327E-03     22.0356E-03
             460         1.00000     333.796E-03     3.89080E-03
             461     999.993E-03     309.332E-03    -29.8090E-06
             462     999.953E-03     332.213E-03    -4.81503E-03
             463     999.774E-03     332.653E-03    -156.954E-06
             464         1.00011     318.926E-03    -1.56312E-03
             465         1.00003     314.103E-03    -1.79186E-03
             466         1.00007     319.000E-03    -124.818E-06
             467     999.820E-03     330.635E-03    -1.77544E-03
             468     999.996E-03     324.992E-03     1.44620E-03
             469     999.893E-03     325.689E-03     589.302E-06
             470         1.00001     322.710E-03    -4.96953E-03
             471         1.00013     320.825E-03    -7.18724E-03
             472     999.796E-03     295.869E-03    -2.19320E-03
             473     219.935E-03     996.932E-03    -105.617E-03
             474     254.512E-03         1.00006    -114.006E-03
             475     271.033E-03         1.00017    -109.614E-03
             476     281.505E-03     999.592E-03    -87.4552E-03
             477     280.460E-03     998.717E-03    -56.3436E-03
             478     268.098E-03     999.919E-03    -21.5903E-03
             479     245.205E-03         1.00017     9.92922E-03
             480     216.841E-03     999.479E-03     35.0858E-03
             481     184.485E-03     999.439E-03     51.2303E-03
             482     148.900E-03     999.628E-03     61.2620E-03
             483     66.0576E-03     997.248E-03    -23.0519E-03
             484     86.1318E-03     999.783E-03    -39.1672E-03
             485     109.241E-03     998.970E-03    -51.6881E-03
             486     135.511E-03     998.544E-03    -59.0947E-03
             487     168.113E-03     999.564E-03    -55.6108E-03
             488     200.602E-03         1.00006    -44.5350E-03
             489     231.244E-03         1.00003    -23.5153E-03
             490     258.170E-03         1.00055     5.32155E-03
             491     276.648E-03     999.606E-03     39.0058E-03
             492     282.818E-03         1.00037     72.4090E-03
             493     277.798E-03     999.227E-03     99.6212E-03
             494     263.713E-03         1.00055     114.074E-03
             495     229.300E-03     992.625E-03     116.576E-03
             496     177.295E-03     991.763E-03    -804.529E-06
             497     195.693E-03     987.302E-03     68.6556E-03
